1,all pines combined,0.49,48,0.0240
2,shorleaf pine,0.49,51,0.0255
3,slash pine,0.64,56,0.0280
4,longleaf pine,0.55,50,0.0250
5,loblolly pine,0.50,54,0.0270
6,white pine,0.34,36,0.0180
7,virginia pine,0.45,42,0.0210
8,cherry,0.47,46,0.0230
9,all hardwoods combined,0.54,55,0.0275
